Code zone;Zone;Code Élément;Élément;Produit;Année;Unité;Valeur
213;Turkménistan;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;9
223;Turquie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
230;Ukraine;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;121
234;Uruguay;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;3
155;Vanuatu;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;4
236;Venezuela (République bolivarienne du);5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;25
237;Viet Nam;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;291
249;Yémen;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;78
251;Zambie;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;12
181;Zimbabwe;5611;Importations - Quantité;Viande de Volailles;2017;Milliers de tonnes;6
